date,nominal_rate,expected_inflation,real_rate_approx,real_rate_exact,formula_difference,negative_real_rate
2008-10-01,0.67,1.6072395,-0.9372394999999999,-0.9224140962908467,-0.014825403709153195,True
2008-11-01,0.19,0.78457206,-0.59457206,-0.5899435279102416,-0.00462853208975833,True
2008-12-01,0.03,0.28299557,-0.25299556999999995,-0.25228162417965105,-0.0007139458203488935,True
2009-01-01,0.13,0.47357505,-0.34357505,-0.34195563343797364,-0.0016194165620263545,True
2009-02-01,0.3,0.38164688,-0.08164688000000003,-0.08133646193074773,-0.0003104180692523051,True
2009-03-01,0.21,-0.48067803,0.6906780299999999,0.6940140028367736,-0.0033359728367736707,False
2009-04-01,0.16,1.2289362,-1.0689362,-1.055959135921447,-0.012977064078552925,True
2009-05-01,0.18,1.2972457,-1.1172457,-1.1029378857040362,-0.014307814295963839,True
2009-06-01,0.18,1.2745119,-1.0945119,-1.0807377685322694,-0.013774131467730655,True
2009-07-01,0.18,1.5522347,-1.3722347000000001,-1.351259973799479,-0.0209747262005211,True
2009-08-01,0.17,2.0245319,-1.8545319,-1.8177313489835312,-0.03680055101646884,True
2009-09-01,0.12,2.3608109,-2.2408109,-2.1891296877172284,-0.05168121228277167,True
2009-10-01,0.07,1.6283633,-1.5583633,-1.5333940736601548,-0.024969226339845108,True
2009-11-01,0.05,1.8070337,-1.7570337,-1.7258470619795685,-0.031186638020431534,True
2009-12-01,0.05,1.7866037,-1.7366036999999999,-1.7061220601468974,-0.030481639853102482,True
2010-01-01,0.06,1.6957593,-1.6357593,-1.6084832949371686,-0.027276005062831343,True
2010-02-01,0.11,1.7316171,-1.6216171,-1.5940148660037345,-0.02760223399626538,True
2010-03-01,0.15,1.9701388,-1.8201388,-1.7849723668317719,-0.035166433168228206,True
2010-04-01,0.16,1.587202,-1.427202,-1.4049033459943017,-0.022298654005698415,True
2010-05-01,0.16,1.562963,-1.4029630000000002,-1.38137265648699,-0.021590343513010257,True
2010-06-01,0.12,1.3532178,-1.2332177999999998,-1.2167524887404024,-0.01646531125959738,True
2010-07-01,0.16,0.96279857,-0.80279857,-0.7951429450951508,-0.007655624904849168,True
2010-08-01,0.16,1.3411201,-1.1811201,-1.1654894862366927,-0.01563061376330732,True
2010-09-01,0.15,0.90713698,-0.75713698,-0.750330454970749,-0.006806525029250943,True
2010-10-01,0.13,1.3652619,-1.2352618999999998,-1.218624484212949,-0.016637415787050802,True
2010-11-01,0.14,1.3962369,-1.2562368999999998,-1.2389383850989644,-0.0172985149010354,True
2010-12-01,0.14,1.4938723,-1.3538723,-1.3339448671326304,-0.019927432867369532,True
2011-01-01,0.15,1.7900451,-1.6400451,-1.6112038248816907,-0.028841275118309362,True
2011-02-01,0.13,1.9547432,-1.8247432,-1.7897580266770685,-0.034985173322931384,True
2011-03-01,0.1,2.1063793,-2.0063793,-1.9649891747753,-0.04139012522469976,True
2011-04-01,0.06,2.0757372,-2.0157372,-1.974746649196879,-0.04099055080312075,True
2011-05-01,0.04,2.292302,-2.252302,-2.201829420164969,-0.05047257983503073,True
2011-06-01,0.04,2.1177045,-2.0777045,-2.034617317509324,-0.04308718249067578,True
2011-07-01,0.04,2.432348,-2.392348,-2.335539550455301,-0.05680844954469899,True
2011-08-01,0.02,1.5113148,-1.4913148,-1.4691118945097115,-0.022202905490288583,True
2011-09-01,0.01,1.008876,-0.9988760000000001,-0.9888992329743274,-0.00997676702567274,True
2011-10-01,0.02,1.4656093,-1.4456092999999999,-1.424728348819948,-0.020880951180051843,True
2011-11-01,0.01,1.5052488,-1.4952488,-1.473075350956632,-0.022173449043368043,True
2011-12-01,0.01,1.7116627,-1.7016627,-1.6730261356744158,-0.028636564325584146,True
2012-01-01,0.03,1.4714419,-1.4414419,-1.4205394867853882,-0.020902413214611837,True
2012-02-01,0.09,1.5014226,-1.4114225999999999,-1.3905446483860384,-0.020877951613961443,True
2012-03-01,0.08,1.3620536,-1.2820536,-1.2648259920416627,-0.017227607958337332,True
2012-04-01,0.08,1.6869361,-1.6069361,-1.5802778229247916,-0.026658277075208403,True
2012-05-01,0.09,1.5903147,-1.5003147,-1.4768284795952158,-0.023486220404784097,True
2012-06-01,0.09,0.78930567,-0.69930567,-0.693829236496224,-0.005476433503776024,True
2012-07-01,0.1,1.2966497,-1.1966496999999998,-1.1813319626503116,-0.01531773734968822,True
2012-08-01,0.1,1.3700924,-1.2700924,-1.252926153986622,-0.017166246013377906,True
2012-09-01,0.11,1.9315046,-1.8215046,-1.7869888285745872,-0.03451577142541273,True
2012-10-01,0.1,1.6131067,-1.5131066999999998,-1.4890861515210463,-0.02402054847895352,True
2012-11-01,0.09,1.6632266,-1.5732266,-1.5474883619324475,-0.025738238067552377,True
2012-12-01,0.07,2.1029068,-2.0329068,-1.9910371444978425,-0.0418696555021576,True
2013-01-01,0.07,1.3155854,-1.2455854,-1.2294114425558167,-0.016173957444183262,True
2013-02-01,0.1,1.3608065,-1.2608065,-1.2438797041339655,-0.016926795866034405,True
2013-03-01,0.09,1.0049408,-0.9149408,-0.9058376676955637,-0.009103132304436268,True
2013-04-01,0.06,1.4563149,-1.3963149,-1.3762720451420685,-0.020042854857931447,True
2013-05-01,0.04,1.1780254,-1.1380253999999999,-1.124775261723987,-0.013250138276012846,True
2013-06-01,0.05,1.3532103,-1.3032103,-1.2858105788090657,-0.017399721190934248,True
2013-07-01,0.04,1.0030329,-0.9630329,-0.9534692893365504,-0.009563610663449573,True
2013-08-01,0.04,1.797427,-1.757427,-1.72639628701029,-0.031030712989710052,True
2013-09-01,0.02,2.202423,-2.182423,-2.135392621758092,-0.04703037824190792,True
2013-10-01,0.05,1.5555239,-1.5055239,-1.4824638209561813,-0.023060079043818682,True
2013-11-01,0.07,1.4505754,-1.3805754,-1.3608354556459257,-0.019739944354074224,True
2013-12-01,0.07,1.9240314,-1.8540314,-1.8190326408144775,-0.03499875918552253,True
2014-01-01,0.04,1.6382453,-1.5982452999999999,-1.5724841522820054,-0.025761147717994426,True
2014-02-01,0.05,1.5858281,-1.5358281,-1.5118527148178185,-0.023975385182181563,True
2014-03-01,0.05,1.2194617,-1.1694617,-1.1553723763777057,-0.014089323622294314,True
2014-04-01,0.03,1.653011,-1.623011,-1.5966187169802581,-0.026392283019741836,True
2014-05-01,0.03,1.76839,-1.7383899999999999,-1.7081826685083623,-0.030207331491637568,True
2014-06-01,0.04,1.5265458,-1.4865458,-1.4641942048618461,-0.02235159513815388,True
2014-07-01,0.03,1.8594911,-1.8294911,-1.7960929121508373,-0.03339818784916271,True
2014-08-01,0.03,1.8065541,-1.7765541,-1.745029203380133,-0.03152489661986713,True
2014-09-01,0.02,2.1150395,-2.0950395,-2.0516463688975084,-0.043393131102491544,True
2014-10-01,0.02,1.6022445,-1.5822445,-1.5572928607891057,-0.024951639210894383,True
2014-11-01,0.02,1.321155,-1.301155,-1.2841888744754337,-0.016966125524566333,True
2014-12-01,0.03,2.1860996,-2.1560996,-2.1099734782322632,-0.046126121767736894,True
2015-01-01,0.03,0.91604112,-0.88604112,-0.8779982945886777,-0.008042825411322285,True
2015-02-01,0.02,0.38334206,-0.36334205999999997,-0.3619545360253329,-0.001387523974667071,True
2015-03-01,0.03,0.79843856,-0.76843856,-0.7623516504599248,-0.0060869095400751805,True
2015-04-01,0.02,1.5899931,-1.5699931,-1.5454210125347534,-0.02457208746524664,True
2015-05-01,0.02,1.7028274,-1.6828274,-1.6546515401989814,-0.028175859801018666,True
2015-06-01,0.02,1.7750546,-1.7550546,-1.7244447638940397,-0.030609836105960353,True
2015-07-01,0.03,1.8011251,-1.7711251,-1.739789317908036,-0.03133578209196397,True
2015-08-01,0.07,1.7247986,-1.6547986,-1.6267406008902308,-0.02805799910976914,True
2015-09-01,0.02,1.92835583,-1.90835583,-1.8722521465791342,-0.036103683420865895,True
2015-10-01,0.02,1.3119821,-1.2919821,-1.2752510346947465,-0.01673106530525348,True
2015-11-01,0.12,1.3066673,-1.1866672999999999,-1.17136150228484,-0.01530579771515983,True
2015-12-01,0.23,1.46795515,-1.2379551500000001,-1.2200454302739527,-0.01790971972604738,True
2016-01-01,0.26,1.47498776,-1.21498776,-1.1973273284581087,-0.01766043154189134,True
2016-02-01,0.31,1.11589387,-0.80589387,-0.7970001936946636,-0.00889367630533644,True
2016-03-01,0.29,0.78224551,-0.49224551,-0.488424828707712,-0.0038206812922880196,True
2016-04-01,0.23,1.68966418,-1.45966418,-1.4354105618996527,-0.02425361810034743,True
2016-05-01,0.27,1.66012215,-1.39012215,-1.3674212863416302,-0.022700863658369874,True
2016-06-01,0.27,1.28116185,-1.01116185,-0.9983711003410112,-0.012790749658988743,True
2016-07-01,0.3,1.64813436,-1.34813436,-1.3262755568394513,-0.021858803160548668,True
2016-08-01,0.3,1.5900866,-1.2900866,-1.269894182765674,-0.020192417234325966,True
2016-09-01,0.29,2.06443724,-1.7744372400000001,-1.7385460479515502,-0.03589119204844993,True
2016-10-01,0.33,1.74399736,-1.41399736,-1.3897599825932194,-0.024237377406780558,True
2016-11-01,0.45,1.90220184,-1.45220184,-1.4250936817637783,-0.027108158236221813,True
2016-12-01,0.51,2.2917332,-1.7817332,-1.7418154373397554,-0.039917762660244493,True
2017-01-01,0.51,2.1027318,-1.5927318,-1.5599306423258574,-0.03280115767414249,True
2017-02-01,0.52,1.94277371,-1.42277371,-1.3956592097909781,-0.02711450020902184,True
2017-03-01,0.74,1.50314821,-0.76314821,-0.7518468377169074,-0.011301372283092581,True
2017-04-01,0.8,1.71866969,-0.91866969,-0.9031475665182809,-0.015522123481719108,True
2017-05-01,0.89,1.56480634,-0.6748063400000001,-0.6644096162021107,-0.010396723797889362,True
2017-06-01,0.98,0.95868776,0.021312239999999982,0.02110986233365697,0.00020237766634301213,False
2017-07-01,1.07,1.71215951,-0.6421595099999999,-0.6313497944529289,-0.010809715547070997,True
2017-08-01,1.01,1.65217832,-0.64217832,-0.6317408348873954,-0.010437485112604561,True
2017-09-01,1.03,2.05780237,-1.02780237,-1.0070786810339127,-0.02072368896608734,True
2017-10-01,1.07,1.95269933,-0.8826993299999999,-0.8657929959685395,-0.016906334031460357,True
2017-11-01,1.23,2.06917502,-0.8391750199999999,-0.8221630280009218,-0.017011991999078102,True
2017-12-01,1.32,2.82407476,-1.5040747599999997,-1.4627651778152395,-0.04130958218476022,True
2018-01-01,1.41,1.9048938,-0.49489380000000005,-0.4856428200310847,-0.00925097996891533,True
2018-02-01,1.57,2.13804094,-0.5680409399999997,-0.5561502205957636,-0.011890719404236139,True
2018-03-01,1.7,1.68874433,0.01125566999999994,0.011068747159925785,0.00018692284007415516,False
2018-04-01,1.76,1.84679022,-0.08679021999999992,-0.08521645091860153,-0.0015737690813983907,True
2018-05-01,1.86,1.96778394,-0.1077839399999998,-0.10570391533017975,-0.0020800246698200464,True
2018-06-01,1.9,1.59099529,0.30900470999999996,0.3041654519851056,0.0048392580148943765,False
2018-07-01,1.96,2.12308939,-0.1630893900000001,-0.15969884085388353,-0.0033905491461165838,True
2018-08-01,2.03,2.12845808,-0.09845808000000034,-0.09640611622949713,-0.0020519637705032068,True
2018-09-01,2.13,2.41001454,-0.28001454000000026,-0.2734249587384108,-0.006589581261589483,True
